from,to,reason
related_papers\基于人工智能技术的抽水蓄能电站预选址研究_李姝颖 (1).pdf,related_papers\_duplicates_archive\title_suffix_duplicates\基于人工智能技术的抽水蓄能电站预选址研究_李姝颖 (1).pdf,duplicate_title_suffix
related_papers\基于人工智能技术的抽水蓄能电站预选址研究_李姝颖 (2).pdf,related_papers\_duplicates_archive\title_suffix_duplicates\基于人工智能技术的抽水蓄能电站预选址研究_李姝颖 (2).pdf,duplicate_title_suffix
related_papers\基于多模态大模型与图神经网络的机场综合用能安全预测分析研究_吴飞 (2).pdf,related_papers\_duplicates_archive\title_suffix_duplicates\基于多模态大模型与图神经网络的机场综合用能安全预测分析研究_吴飞 (2).pdf,duplicate_title_suffix
related_papers\基于多模态大模型的电力电缆故障数据采集方法与应用_罗盼 (1).pdf,related_papers\_duplicates_archive\title_suffix_duplicates\基于多模态大模型的电力电缆故障数据采集方法与应用_罗盼 (1).pdf,duplicate_title_suffix
related_papers\基于大模型多模态电网基建工程施工管理深度优化研究_林培亮 (1).pdf,related_papers\_duplicates_archive\title_suffix_duplicates\基于大模型多模态电网基建工程施工管理深度优化研究_林培亮 (1).pdf,duplicate_title_suffix
related_papers\大模型赋能下“人工智能+电力”的融合实践研究——以智能巡检、安全督察与电网调度智能决策为例_何睿清 (1).pdf,related_papers\_duplicates_archive\title_suffix_duplicates\大模型赋能下“人工智能+电力”的融合实践研究——以智能巡检、安全督察与电网调度智能决策为例_何睿清 (1).pdf,duplicate_title_suffix
related_papers\工业大模型应用技术：综述与展望_秦小林 (1).pdf,related_papers\_duplicates_archive\title_suffix_duplicates\工业大模型应用技术：综述与展望_秦小林 (1).pdf,duplicate_title_suffix
related_papers\张量网络分解下电力跨模态数据检索方法_张喜铭 (1).pdf,related_papers\_duplicates_archive\title_suffix_duplicates\张量网络分解下电力跨模态数据检索方法_张喜铭 (1).pdf,duplicate_title_suffix
related_papers\张量网络分解下电力跨模态数据检索方法_张喜铭 (2).pdf,related_papers\_duplicates_archive\title_suffix_duplicates\张量网络分解下电力跨模态数据检索方法_张喜铭 (2).pdf,duplicate_title_suffix
related_papers\跨界赋能：电力多模态大模型对商业银行智能风控的启示_施志晖 (3).pdf,related_papers\_duplicates_archive\title_suffix_duplicates\跨界赋能：电力多模态大模型对商业银行智能风控的启示_施志晖 (3).pdf,duplicate_title_suffix
related_papers\面向源网荷的智能化数据协同推断技术研究综述_张辉 (1).pdf,related_papers\_duplicates_archive\title_suffix_duplicates\面向源网荷的智能化数据协同推断技术研究综述_张辉 (1).pdf,duplicate_title_suffix
related_papers\面向知识学习的电力科学大模型_陆超 (1).pdf,related_papers\_duplicates_archive\title_suffix_duplicates\面向知识学习的电力科学大模型_陆超 (1).pdf,duplicate_title_suffix
related_papers\跨界赋能：电力多模态大模型对商业银行智能风控的启示_施志晖 (2).pdf.crdownload,related_papers\_duplicates_archive\incomplete_or_invalid_downloads\跨界赋能：电力多模态大模型对商业银行智能风控的启示_施志晖 (2).pdf.crdownload,incomplete_or_invalid
related_papers\_download_test\bernier2025powergraph.pdf,related_papers\_duplicates_archive\incomplete_or_invalid_downloads\bernier2025powergraph.pdf,incomplete_or_invalid
related_papers\2512.13004v1.pdf,related_papers\_duplicates_archive\active_area_duplicates\2512.13004v1.pdf,duplicate_of_related_papers\01_power_energy_surveys\10_sarwar2025large - Large Language Models for Power System Applications_ A Comprehensive Literature Survey.pdf
related_papers\基于多模态大模型的电力巡检图像智能识别_王启其 (1).pdf,related_papers\_duplicates_archive\active_area_duplicates\基于多模态大模型的电力巡检图像智能识别_王启其 (1).pdf,duplicate_of_related_papers\04_inspection_and_perception\22_wang2025inspection - 基于多模态大模型的电力巡检图像智能识别.pdf
related_papers\基于多模态知识图谱的变电站设备智能运检关键技术研究_付旭辉 (1).pdf,related_papers\_duplicates_archive\active_area_duplicates\基于多模态知识图谱的变电站设备智能运检关键技术研究_付旭辉 (1).pdf,duplicate_of_related_papers\03_rag_kg_reasoning\32_fuxuhui2025mmkg - 基于多模态知识图谱的变电站设备智能运检关键技术研究.pdf
related_papers\基于大语言模型构建面向能源数字网络的知识图谱_周爱华 (1).pdf,related_papers\_duplicates_archive\active_area_duplicates\基于大语言模型构建面向能源数字网络的知识图谱_周爱华 (1).pdf,duplicate_of_related_papers\03_rag_kg_reasoning\33_zhouaihua2026kg - 基于大语言模型构建面向能源数字网络的知识图谱.pdf
related_papers\推理大模型赋能新型电力系统智能决策：原理、应用与展望_余涛 (1).pdf,related_papers\_duplicates_archive\active_area_duplicates\推理大模型赋能新型电力系统智能决策：原理、应用与展望_余涛 (1).pdf,duplicate_of_related_papers\06_dispatch_control_and_optimization\30_yutao2026reasoning - 推理大模型赋能新型电力系统智能决策：原理、应用与展望.pdf
related_papers\面向新型电力系统的故障诊断技术研究进展(二)：机器学习和大语言模型技术_张建良 (1).pdf,related_papers\_duplicates_archive\active_area_duplicates\面向新型电力系统的故障诊断技术研究进展(二)：机器学习和大语言模型技术_张建良 (1).pdf,duplicate_of_related_papers\05_fault_diagnosis_and_maintenance\26_zhangjianliang2025fault - 面向新型电力系统的故障诊断技术研究进展（二）：机器学习和大语言模型技术.pdf
